Distance_(pixels),Gray_Value,,Gray_Value,,Max Value,,Row of max value
986,25.924,,0.84174297,,,,
987,25.985,,0.843723618,,,,
988,25.981,,0.84359374,,,,
989,25.784,,0.837197221,,,,
990,25.579,,0.830540944,,,,
991,25.389,,0.824371712,,,,
992,25.236,,0.819403857,,,,
993,25.189,,0.817877784,,,,
994,25.357,,0.823332684,,,,
995,25.338,,0.822715761,,,,
996,25.277,,0.820735113,,,,
997,25.262,,0.820248068,,,,
998,25.27,,0.820507825,,,,
999,25.367,,0.82365738,,,,
1000,25.401,,0.824761348,,,,
1001,25.471,,0.827034223,,,,
1002,25.481,,0.827358919,,,,
1003,25.627,,0.832099487,,,,
1004,25.63,,0.832196896,,,,
1005,25.476,,0.827196571,,,,
1006,25.15,,0.816611468,,,,
1007,24.94,,0.809792844,,,,
1008,24.913,,0.808916163,,,,
1009,25.041,,0.813072277,,,,
1010,25.357,,0.823332684,,,,
1011,25.383,,0.824176895,,,,
1012,25.352,,0.823170336,,,,
1013,25.214,,0.818689525,,,,
1014,24.966,,0.810637054,,,,
1015,24.813,,0.805669199,,,,
1016,24.851,,0.806903046,,,,
1017,24.936,,0.809662965,,,,
1018,24.991,,0.811448795,,,,
1019,25.033,,0.81281252,,,,
1020,25.027,,0.812617702,,,,
1021,25.064,,0.813819079,,,,
1022,25.146,,0.81648159,,,,
1023,25.223,,0.818981752,,,,
1024,25.35,,0.823105396,,,,
1025,25.381,,0.824111955,,,,
1026,25.496,,0.827845964,,,,
1027,25.406,,0.824923696,,,,
1028,25.465,,0.826839405,,,,
1029,25.545,,0.829436976,,,,
1030,25.77,,0.836742646,,,,
1031,25.783,,0.837164751,,,,
1032,25.756,,0.836288071,,,,
1033,25.81,,0.838041431,,,,
1034,25.783,,0.837164751,,,,
1035,25.751,,0.836125722,,,,
1036,25.672,,0.833560621,,,,
1037,25.65,,0.832846289,,,,
1038,25.941,,0.842294954,,,,
1039,26.374,,0.856354309,,,,
1040,26.863,,0.872231963,,,,
1041,26.923,,0.874180142,,,,
1042,27.119,,0.880544191,,,,
1043,26.972,,0.875771154,,,,
1044,26.965,,0.875543866,,,,
1045,27.219,,0.883791155,,,,
1046,27.63,,0.897136178,,,,
1047,27.64,,0.897460874,,,,
1048,27.514,,0.893369699,,,,
1049,27.449,,0.891259173,,,,
1050,27.273,,0.885544516,,,,
1051,27.487,,0.892493019,,,,
1052,27.806,,0.902850834,,,,
1053,27.973,,0.908273264,,,,
1054,28.419,,0.922754724,,,,
1055,28.701,,0.931911163,,,,
1056,29.1,,0.94486655,,,,
1057,29.264,,0.950191571,,,,
1058,29.631,,0.962107929,,,,
1059,29.587,,0.960679265,,,,
1060,29.482,,0.957269953,,,,
1061,29.395,,0.954445094,,,,
1062,29.508,,0.958114163,,,,
1063,29.599,,0.961068901,,,,
1064,29.67,,0.963374245,,,,
1065,29.733,,0.965419832,,,,
1066,30.055,,0.975875057,,,,
1067,30.321,,0.984511981,,,,
1068,30.505,,0.990486395,,,,
1069,30.473,,0.989447367,,,,
1070,30.589,,0.993213845,,,,
1071,30.462,,0.989090201,,,,
1072,30.527,,0.991200727,,,,
1073,30.401,,0.987109553,,,,
1074,30.402,,0.987142022,,,,
1075,30.34,,0.985128904,,,,
1076,30.489,,0.989966881,,,,
1077,30.461,,0.989057731,,,,
1078,30.424,,0.987856354,,,,
1079,30.339,,0.985096435,,,,
1080,30.487,,0.989901942,,,,
1081,30.679,,0.996136113,,,,
1082,30.798,,1,,,,
1083,30.536,,0.991492954,,,,
1084,30.347,,0.985356192,,,,
1085,30.426,,0.987921294,,,,
1086,30.351,,0.985486071,,,,
1087,30.078,,0.976621859,,,,
1088,29.964,,0.97292032,,,,
1089,29.885,,0.970355218,,,,
1090,30.24,,0.98188194,,,,
1091,29.97,,0.973115137,,,,
1092,29.99,,0.97376453,,,,
1093,29.867,,0.969770764,,,,
1094,29.899,,0.970809793,,,,
1095,29.63,,0.962075459,,,,
1096,29.543,,0.959250601,,,,
1097,29.482,,0.957269953,,,,
1098,29.484,,0.957334892,,,,
1099,29.076,,0.944087278,,,,
1100,28.896,,0.938242743,,,,
1101,29.093,,0.944639262,,,,
1102,29.296,,0.951230599,,,,
1103,29.007,,0.941846873,,,,
1104,28.676,,0.931099422,,,,
1105,28.479,,0.924702903,,,,
1106,28.367,,0.921066303,,,,
1107,28.285,,0.918403792,,,,
1108,28.201,,0.915676343,,,,
1109,27.999,,0.909117475,,,,
1110,27.825,,0.903467758,,,,
1111,27.68,,0.89875966,,,,
1112,27.586,,0.895707513,,,,
1113,27.531,,0.893921683,,,,
1114,27.648,,0.897720631,,,,
1115,27.308,,0.886680953,,,,
1116,27.027,,0.877556984,,,,
1117,26.842,,0.871550101,,,,
1118,26.723,,0.867686213,,,,
1119,26.261,,0.852685239,,,,
1120,25.975,,0.843398922,,,,
1121,25.903,,0.841061108,,,,
1122,25.994,,0.844015845,,,,
1123,26.107,,0.847684915,,,,
1124,26.139,,0.848723943,,,,
1125,26.037,,0.84541204,,,,
1126,25.821,,0.838398597,,,,
1127,25.69,,0.834145074,,,,
1128,25.587,,0.830800701,,,,
1129,25.567,,0.830151309,,,,
1130,26.2,,0.850704591,,,,
1131,26.022,,0.844924995,,,,
1132,25.788,,0.837327099,,,,
1133,25.536,,0.82914475,,,,
1134,25.233,,0.819306448,,,,
1135,24.864,,0.807325151,,,,
1136,24.835,,0.806383531,,,,
1137,24.972,,0.810831872,,,,
1138,25.077,,0.814241184,,,,
1139,25.035,,0.81287746,,,,
1140,25.043,,0.813137217,,,,
1141,24.941,,0.809825313,,,,
1142,24.72,,0.802649523,,,,
1143,24.487,,0.795084096,,,,
1144,24.378,,0.791544906,,,,
1145,24.301,,0.789044743,,,,
1146,24.439,,0.793525554,,,,
1147,24.401,,0.792291707,,,,
1148,24.39,,0.791934541,,,,
1149,24.373,,0.791382557,,,,
1150,24.296,,0.788882395,,,,
1151,24.194,,0.785570492,,,,
1152,24.204,,0.785895188,,,,
1153,24.247,,0.787291383,,,,
1154,24.253,,0.7874862,,,,
1155,23.874,,0.775180207,,,,
1156,23.507,,0.763263848,,,,
1157,23.541,,0.764367816,,,,
1158,23.77,,0.771803364,,,,
1159,23.819,,0.773394376,,,,
1160,23.545,,0.764497695,,,,
1161,23.297,,0.756445224,,,,
1162,23.107,,0.750275992,,,,
1163,23.164,,0.752126761,,,,
1164,23.159,,0.751964413,,,,
1165,23.036,,0.747970647,,,,
1166,23.007,,0.747029028,,,,
1167,22.903,,0.743652185,,,,
1168,22.761,,0.739041496,,,,
1169,22.556,,0.73238522,,,,
1170,22.647,,0.735339957,,,,
1171,22.584,,0.73329437,,,,
1172,22.501,,0.73059939,,,,
1173,22.392,,0.727060199,,,,
1174,22.331,,0.725079551,,,,
1175,22.36,,0.72602117,,,,
1176,22.359,,0.725988701,,,,
1177,22.325,,0.724884733,,,,
1178,22.318,,0.724657445,,,,
1179,22.171,,0.719884408,,,,
1180,21.969,,0.713325541,,,,
1181,21.85,,0.709461653,,,,
1182,21.765,,0.706701734,,,,
1183,21.684,,0.704071693,,,,
1184,21.412,,0.695239951,,,,
1185,21.135,,0.68624586,,,,
1186,20.874,,0.677771284,,,,
1187,21.074,,0.684265212,,,,
1188,21.129,,0.686051042,,,,
1189,20.961,,0.680596143,,,,
1190,20.72,,0.672770959,,,,
1191,20.46,,0.664328853,,,,
1192,20.257,,0.657737515,,,,
1193,20.101,,0.652672251,,,,
1194,20.218,,0.656471199,,,,
1195,20.261,,0.657867394,,,,
1196,20.21,,0.656211442,,,,
1197,20.004,,0.649522696,,,,
1198,19.67,,0.638677836,,,,
1199,19.383,,0.629359049,,,,
1200,19.333,,0.627735567,,,,
1201,19.392,,0.629651276,,,,
1202,19.416,,0.630430547,,,,
1203,19.337,,0.627865446,,,,
1204,19.17,,0.622443016,,,,
1205,18.974,,0.616078966,,,,
1206,18.835,,0.611565686,,,,
1207,18.757,,0.609033054,,,,
1208,18.596,,0.603805442,,,,
1209,18.447,,0.598967465,,,,
1210,18.735,,0.608318722,,,,
1211,18.648,,0.605493863,,,,
1212,18.367,,0.596369894,,,,
1213,18.055,,0.586239366,,,,
1214,17.649,,0.573056692,,,,
1215,17.567,,0.570394181,,,,
1216,17.73,,0.575686733,,,,
1217,17.881,,0.580589649,,,,
1218,17.871,,0.580264952,,,,
1219,17.597,,0.571368271,,,,
1220,17.25,,0.560101305,,,,
1221,17.088,,0.554841223,,,,
1222,17.004,,0.552113774,,,,
1223,16.936,,0.549905838,,,,
1224,16.741,,0.543574258,,,,
1225,16.612,,0.539385674,,,,
1226,16.529,,0.536690694,,,,
1227,16.29,,0.52893045,,,,
1228,16.094,,0.5225664,,,,
1229,16.053,,0.521235145,,,,
1230,16.074,,0.521917008,,,,
1231,16.089,,0.522404052,,,,
1232,16.145,,0.524222352,,,,
1233,16.265,,0.528118709,,,,
1234,15.982,,0.518929801,,,,
1235,15.744,,0.511202026,,,,
1236,15.556,,0.505097734,,,,
1237,15.407,,0.500259757,,,,
1238,15.147,,0.49181765,,,,
1239,14.804,,0.480680564,,,,
1240,14.693,,0.477076434,,,,
1241,14.858,,0.482433924,,,,
1242,15.059,,0.488960322,,,,
1243,14.951,,0.485453601,,,,
1244,14.833,,0.481622183,,,,
1245,14.614,,0.474511332,,,,
1246,14.398,,0.467497889,,,,
1247,14.22,,0.461718293,,,,
1248,13.959,,0.453243717,,,,
